from,to,direction,json_alt,chart_alt,verdict
AAKKO,AHIUD,AAKKO->AHIUD,,,unmatched
AAKKO,AHIUD,AHIUD->AAKKO,2000,,unmatched
AFFEK,LLHA,AFFEK->LLHA,2000,,unmatched
AFFEK,LLHA,LLHA->AFFEK,1500,1500,confirm
ALUMT,DESHE,ALUMT->DESHE,3500,3500,confirm
ALUMT,DESHE,DESHE->ALUMT,3000,3000,confirm
ALUMT,KOYAR,ALUMT->KOYAR,3000,3000,confirm
ALUMT,KOYAR,KOYAR->ALUMT,3500,3500,confirm
AMNON,DESHE,AMNON->DESHE,3000,,unmatched
AMNON,DESHE,DESHE->AMNON,2500,,unmatched
ANATA,HNINA,ANATA->HNINA,5000,,unmatched
ANATA,HNINA,HNINA->ANATA,4500,5000,MISMATCH
ANATA,DUMIM,ANATA->DUMIM,4500,5000,MISMATCH
ANATA,DUMIM,DUMIM->ANATA,5000,,unmatched
BAZRA,DEROR,BAZRA->DEROR,800,2000,MISMATCH
BAZRA,DEROR,DEROR->BAZRA,2000,,unmatched
BAZRA,LLHZ,BAZRA->LLHZ,1200,,unmatched
BAZRA,LLHZ,LLHZ->BAZRA,800,,unmatched
ARAVA,HAZVA,ARAVA->HAZVA,3500,3500,confirm
ARAVA,HAZVA,HAZVA->ARAVA,4000,4000,confirm
ARAVA,ZOHAR,ARAVA->ZOHAR,4000,4000,confirm
ARAVA,ZOHAR,ZOHAR->ARAVA,3500,3500,confirm
ARENA,HTZUK,ARENA->HTZUK,800,1600,ambig-double-match
ARENA,HTZUK,HTZUK->ARENA,1600,1600,confirm
ARRAD,LLMZ,ARRAD->LLMZ,4000,,unmatched
ARRAD,LLMZ,LLMZ->ARRAD,,,unmatched
ARRAD,MMORR,ARRAD->MMORR,,,unmatched
ARRAD,MMORR,MMORR->ARRAD,4000,,unmatched
ARRAD,TARAD,ARRAD->TARAD,4000,4000,confirm
ARRAD,TARAD,TARAD->ARRAD,3500,,unmatched
BASAN,HULAT,BASAN->HULAT,3000,3000,confirm
BASAN,HULAT,HULAT->BASAN,2500,2500,confirm
BKAMA,LAHAV,BKAMA->LAHAV,3000,,unmatched
BKAMA,LAHAV,LAHAV->BKAMA,3500,,unmatched
BKAMA,NOAAM,BKAMA->NOAAM,3000,3000,confirm
BKAMA,NOAAM,NOAAM->BKAMA,2500,2500,confirm
BKAMA,SOVAL,BKAMA->SOVAL,2500,,unmatched
BKAMA,SOVAL,SOVAL->BKAMA,3000,500,MISMATCH
BMNUH,YAHEL,BMNUH->YAHEL,2500,2500,confirm
BMNUH,YAHEL,YAHEL->BMNUH,3000,3000,confirm
BOKER,OVDAT,BOKER->OVDAT,3500,3500,confirm
BOKER,OVDAT,OVDAT->BOKER,4000,4000,confirm
BRORA,SAMAR,BRORA->SAMAR,3000,,unmatched
BRORA,SAMAR,SAMAR->BRORA,2500,3000,MISMATCH
CLORE,RIDNG,CLORE->RIDNG,1200,800,MISMATCH
CLORE,RIDNG,RIDNG->CLORE,800,1200,MISMATCH
DESHE,TAVOR,DESHE->TAVOR,3000,,unmatched
DESHE,TAVOR,TAVOR->DESHE,2500,,unmatched
DESHE,ZALMN,DESHE->ZALMN,3000,3000,confirm
DESHE,ZALMN,ZALMN->DESHE,2500,2500,confirm
DUMIM,SHAHR,DUMIM->SHAHR,4000,4000,confirm
DUMIM,SHAHR,SHAHR->DUMIM,3500,3500,confirm
DUMIM,YRIHO,DUMIM->YRIHO,3500,,unmatched
DUMIM,YRIHO,YRIHO->DUMIM,4000,,unmatched
EIRON,HADRA,EIRON->HADRA,3000,3000,confirm
EIRON,HADRA,HADRA->EIRON,2500,2500,confirm
EIRON,SDTYM,EIRON->SDTYM,3000,3000,confirm
EIRON,SDTYM,SDTYM->EIRON,,2500,MISMATCH
EITAN,KOYAR,EITAN->KOYAR,3500,3500,confirm
EITAN,KOYAR,KOYAR->EITAN,3000,3000,confirm
ENGDI,SHALM,ENGDI->SHALM,4000,4000,confirm
ENGDI,SHALM,SHALM->ENGDI,3500,3500,confirm
ENGDI,LLMZ,ENGDI->LLMZ,3500,3500,confirm
ENGDI,LLMZ,LLMZ->ENGDI,4000,4000,confirm
EVLYM,SEGEV,EVLYM->SEGEV,2500,,unmatched
EVLYM,SEGEV,SEGEV->EVLYM,3000,,unmatched
FAZEL,NAAMA,FAZEL->NAAMA,3500,3500,confirm
FAZEL,NAAMA,NAAMA->FAZEL,4000,4000,confirm
HADRA,FRDIS,HADRA->FRDIS,1500,1500,confirm
HADRA,FRDIS,FRDIS->HADRA,2000,2000,confirm
FRDIS,SDTYM,FRDIS->SDTYM,2000,2000,confirm
FRDIS,SDTYM,SDTYM->FRDIS,,1500,MISMATCH
GOVRN,NOAAM,GOVRN->NOAAM,2500,,unmatched
GOVRN,NOAAM,NOAAM->GOVRN,3000,,unmatched
GOVRN,ZHRYA,GOVRN->ZHRYA,3000,,unmatched
GOVRN,ZHRYA,ZHRYA->GOVRN,2500,2500,confirm
HADRA,SHARO,HADRA->SHARO,2000,1500,ambig-double-match
HADRA,SHARO,SHARO->HADRA,1500,1500,confirm
HATRU,ZOHAR,HATRU->ZOHAR,3500,,unmatched
HATRU,ZOHAR,ZOHAR->HATRU,4000,,unmatched
HAZVA,LLEY,HAZVA->LLEY,3500,3500,confirm
HAZVA,LLEY,LLEY->HAZVA,4000,4000,confirm
LLEY,ZOFAR,LLEY->ZOFAR,3500,,unmatched
LLEY,ZOFAR,ZOFAR->LLEY,4000,4000,confirm
HRGVS,RUHOT,HRGVS->RUHOT,4500,4500,confirm
HRGVS,RUHOT,RUHOT->HRGVS,4000,4000,confirm
HRGVS,ZOFAR,HRGVS->ZOFAR,3500,3500,confirm
HRGVS,ZOFAR,ZOFAR->HRGVS,4500,500,MISMATCH
HTZUK,KNTRY,HTZUK->KNTRY,800,1200,ambig-double-match
HTZUK,KNTRY,KNTRY->HTZUK,1200,1200,confirm
